,team_name,year,wins,losses,otLosses,pct,gf,ga,diff
179,Detroit Red Wings,1990,34,38,N/A,0.425,273,298,-25
180,Edmonton Oilers,1990,37,37,N/A,0.463,272,272,0
181,Hartford Whalers,1990,31,38,N/A,0.388,238,276,-38
182,Los Angeles Kings,1990,46,24,N/A,0.575,340,254,86
183,Minnesota North Stars,1990,27,39,N/A,0.338,256,266,-10
184,Montreal Canadiens,1990,39,30,N/A,0.487,273,249,24
185,New Jersey Devils,1990,32,33,N/A,0.4,272,264,8
186,New York Islanders,1990,25,45,N/A,0.312,223,290,-67
187,New York Rangers,1990,36,31,N/A,0.45,297,265,32
188,Philadelphia Flyers,1990,33,37,N/A,0.412,252,267,-15
189,Pittsburgh Penguins,1990,41,33,N/A,0.512,342,305,37
190,Quebec Nordiques,1990,16,50,N/A,0.2,236,354,-118
191,St. Louis Blues,1990,47,22,N/A,0.588,310,250,60
192,Toronto Maple Leafs,1990,23,46,N/A,0.287,241,318,-77
193,Vancouver Canucks,1990,28,43,N/A,0.35,243,315,-72
194,Washington Capitals,1990,37,36,N/A,0.463,258,258,0
195,Winnipeg Jets,1990,26,43,N/A,0.325,260,288,-28
196,Boston Bruins,1991,36,32,N/A,0.45,270,275,-5
197,Buffalo Sabres,1991,31,37,N/A,0.388,289,299,-10
198,Calgary Flames,1991,31,37,N/A,0.388,296,305,-9
199,Chicago Blackhawks,1991,36,29,N/A,0.45,257,236,21
200,Boston Bruins,1990,44,24,N/A,0.55,299,264,35
201,Buffalo Sabres,1990,31,30,N/A,0.388,292,278,14
202,Calgary Flames,1990,46,26,N/A,0.575,344,263,81
203,Chicago Blackhawks,1990,49,23,N/A,0.613,284,211,73
204,Detroit Red Wings,1990,34,38,N/A,0.425,273,298,-25
205,Edmonton Oilers,1990,37,37,N/A,0.463,272,272,0
206,Hartford Whalers,1990,31,38,N/A,0.388,238,276,-38
207,Los Angeles Kings,1990,46,24,N/A,0.575,340,254,86
208,Minnesota North Stars,1990,27,39,N/A,0.338,256,266,-10
209,Montreal Canadiens,1990,39,30,N/A,0.487,273,249,24
210,New Jersey Devils,1990,32,33,N/A,0.4,272,264,8
211,New York Islanders,1990,25,45,N/A,0.312,223,290,-67
212,New York Rangers,1990,36,31,N/A,0.45,297,265,32
213,Philadelphia Flyers,1990,33,37,N/A,0.412,252,267,-15
214,Pittsburgh Penguins,1990,41,33,N/A,0.512,342,305,37
215,Quebec Nordiques,1990,16,50,N/A,0.2,236,354,-118
216,St. Louis Blues,1990,47,22,N/A,0.588,310,250,60
217,Toronto Maple Leafs,1990,23,46,N/A,0.287,241,318,-77
218,Vancouver Canucks,1990,28,43,N/A,0.35,243,315,-72
219,Washington Capitals,1990,37,36,N/A,0.463,258,258,0
220,Winnipeg Jets,1990,26,43,N/A,0.325,260,288,-28
221,Boston Bruins,1991,36,32,N/A,0.45,270,275,-5
222,Buffalo Sabres,1991,31,37,N/A,0.388,289,299,-10
223,Calgary Flames,1991,31,37,N/A,0.388,296,305,-9
224,Chicago Blackhawks,1991,36,29,N/A,0.45,257,236,21
225,Boston Bruins,1990,44,24,N/A,0.55,299,264,35
226,Buffalo Sabres,1990,31,30,N/A,0.388,292,278,14
227,Calgary Flames,1990,46,26,N/A,0.575,344,263,81
228,Chicago Blackhawks,1990,49,23,N/A,0.613,284,211,73
229,Detroit Red Wings,1990,34,38,N/A,0.425,273,298,-25
230,Edmonton Oilers,1990,37,37,N/A,0.463,272,272,0
231,Hartford Whalers,1990,31,38,N/A,0.388,238,276,-38
232,Los Angeles Kings,1990,46,24,N/A,0.575,340,254,86
233,Minnesota North Stars,1990,27,39,N/A,0.338,256,266,-10
234,Montreal Canadiens,1990,39,30,N/A,0.487,273,249,24
235,New Jersey Devils,1990,32,33,N/A,0.4,272,264,8
236,New York Islanders,1990,25,45,N/A,0.312,223,290,-67
237,New York Rangers,1990,36,31,N/A,0.45,297,265,32
238,Philadelphia Flyers,1990,33,37,N/A,0.412,252,267,-15
239,Pittsburgh Penguins,1990,41,33,N/A,0.512,342,305,37
240,Quebec Nordiques,1990,16,50,N/A,0.2,236,354,-118
241,St. Louis Blues,1990,47,22,N/A,0.588,310,250,60
242,Toronto Maple Leafs,1990,23,46,N/A,0.287,241,318,-77
243,Vancouver Canucks,1990,28,43,N/A,0.35,243,315,-72
244,Washington Capitals,1990,37,36,N/A,0.463,258,258,0
245,Winnipeg Jets,1990,26,43,N/A,0.325,260,288,-28
246,Boston Bruins,1991,36,32,N/A,0.45,270,275,-5
247,Buffalo Sabres,1991,31,37,N/A,0.388,289,299,-10
248,Calgary Flames,1991,31,37,N/A,0.388,296,305,-9
249,Chicago Blackhawks,1991,36,29,N/A,0.45,257,236,21
250,Boston Bruins,1990,44,24,N/A,0.55,299,264,35
251,Buffalo Sabres,1990,31,30,N/A,0.388,292,278,14
252,Calgary Flames,1990,46,26,N/A,0.575,344,263,81
253,Chicago Blackhawks,1990,49,23,N/A,0.613,284,211,73
254,Detroit Red Wings,1990,34,38,N/A,0.425,273,298,-25
255,Edmonton Oilers,1990,37,37,N/A,0.463,272,272,0
256,Hartford Whalers,1990,31,38,N/A,0.388,238,276,-38
257,Los Angeles Kings,1990,46,24,N/A,0.575,340,254,86
258,Minnesota North Stars,1990,27,39,N/A,0.338,256,266,-10
259,Montreal Canadiens,1990,39,30,N/A,0.487,273,249,24
260,New Jersey Devils,1990,32,33,N/A,0.4,272,264,8
261,New York Islanders,1990,25,45,N/A,0.312,223,290,-67
262,New York Rangers,1990,36,31,N/A,0.45,297,265,32
263,Philadelphia Flyers,1990,33,37,N/A,0.412,252,267,-15
264,Pittsburgh Penguins,1990,41,33,N/A,0.512,342,305,37
265,Quebec Nordiques,1990,16,50,N/A,0.2,236,354,-118
266,St. Louis Blues,1990,47,22,N/A,0.588,310,250,60
267,Toronto Maple Leafs,1990,23,46,N/A,0.287,241,318,-77
268,Vancouver Canucks,1990,28,43,N/A,0.35,243,315,-72
269,Washington Capitals,1990,37,36,N/A,0.463,258,258,0
270,Winnipeg Jets,1990,26,43,N/A,0.325,260,288,-28
271,Boston Bruins,1991,36,32,N/A,0.45,270,275,-5
272,Buffalo Sabres,1991,31,37,N/A,0.388,289,299,-10
273,Calgary Flames,1991,31,37,N/A,0.388,296,305,-9
274,Chicago Blackhawks,1991,36,29,N/A,0.45,257,236,21
275,Boston Bruins,1990,44,24,N/A,0.55,299,264,35
276,Buffalo Sabres,1990,31,30,N/A,0.388,292,278,14
277,Calgary Flames,1990,46,26,N/A,0.575,344,263,81
278,Chicago Blackhawks,1990,49,23,N/A,0.613,284,211,73
279,Detroit Red Wings,1990,34,38,N/A,0.425,273,298,-25
280,Edmonton Oilers,1990,37,37,N/A,0.463,272,272,0
281,Hartford Whalers,1990,31,38,N/A,0.388,238,276,-38
282,Los Angeles Kings,1990,46,24,N/A,0.575,340,254,86
283,Minnesota North Stars,1990,27,39,N/A,0.338,256,266,-10
284,Montreal Canadiens,1990,39,30,N/A,0.487,273,249,24
285,New Jersey Devils,1990,32,33,N/A,0.4,272,264,8
286,New York Islanders,1990,25,45,N/A,0.312,223,290,-67
287,New York Rangers,1990,36,31,N/A,0.45,297,265,32
288,Philadelphia Flyers,1990,33,37,N/A,0.412,252,267,-15
289,Pittsburgh Penguins,1990,41,33,N/A,0.512,342,305,37
290,Quebec Nordiques,1990,16,50,N/A,0.2,236,354,-118
291,St. Louis Blues,1990,47,22,N/A,0.588,310,250,60
292,Toronto Maple Leafs,1990,23,46,N/A,0.287,241,318,-77
293,Vancouver Canucks,1990,28,43,N/A,0.35,243,315,-72
294,Washington Capitals,1990,37,36,N/A,0.463,258,258,0
